test_no,bfs,dfs,astar,greedy
1,353,57,56,57
2,383,256,134,76
3,45,242,15,13
4,212,493,63,29
5,266,105,60,37
6,317,65,125,109
7,435,481,89,44
8,479,182,188,159
9,486,44,71,44
10,570,550,124,69
11,199,582,65,47
12,523,95,250,65
13,402,119,192,50
14,105,652,19,19
15,64,152,24,27
16,572,188,255,88
17,650,281,373,212
18,338,50,49,47
19,169,482,52,33
20,120,208,28,39
21,189,268,38,34
22,495,327,201,160
23,607,594,306,113
24,8,111,5,4
25,450,554,149,97
26,628,491,229,221
27,399,199,65,84
28,43,647,10,10
29,87,339,28,31
30,205,129,79,42
31,502,433,171,51
32,293,249,52,70
33,369,221,122,44
34,227,323,63,39
35,219,145,64,28
36,627,86,333,68
37,592,377,334,140
38,96,37,18,18
39,543,383,206,177
40,614,82,220,64
41,260,264,30,29
42,541,388,315,88
43,604,509,222,63
44,385,341,140,56
45,263,590,105,116
46,233,246,48,107
47,412,413,155,133
48,281,395,65,39
49,138,243,28,25
50,518,500,196,75
51,444,551,81,84
52,556,69,117,63
53,479,572,268,136
54,47,542,22,19
55,625,514,285,74
56,144,28,23,23
57,126,533,36,18
58,591,267,120,56
59,7,380,4,4
60,55,339,21,23
61,217,467,53,154
62,392,322,58,49
63,635,603,374,211
64,433,109,163,59
65,421,617,170,104
66,475,527,82,84
67,506,357,255,107
68,91,55,29,29
69,557,281,347,150
70,383,506,56,69
71,113,52,29,31
72,355,303,69,50
73,650,288,405,105
74,410,220,159,71
75,409,463,151,68
76,47,640,20,15
77,605,347,247,65
78,531,118,147,72
79,248,51,49,32
80,28,183,13,13
81,488,412,190,78
82,71,31,48,35
83,165,573,68,40
84,322,242,93,56
85,227,563,50,32
86,188,641,59,35
87,173,406,42,32
88,552,242,172,111
89,650,94,434,95
90,491,236,155,70
91,48,355,17,17
92,336,72,72,42
93,253,525,71,28
94,95,119,19,19
95,639,577,337,188
96,432,51,44,41
97,259,213,49,91
98,532,523,164,137
99,545,345,323,91
100,341,550,76,67
